colony;indiv;type;oocyte_length;thorax;treatment;n_start;n_end;eggs
21T;35;5;3.03;4.92;C26;21;96;252
21T;36;0;0;5.07;C26;21;96;252
21T;37;0;0;5.23;C26;21;96;252
21T;38;4;3.45;5.38;C26;21;96;252
21T;39;4;3.17;5.38;C26;21;96;252
21T;40;0;0;5.23;C26;21;96;252
21T;41;5;2.62;4.92;C26;21;96;252
21T;42;0;0;5.23;C26;21;96;252
21T;43;4;2.91;4.46;C26;21;96;252
21T;44;0;0;4.31;C26;21;96;252
21T;45;0;0;4.61;C26;21;96;252
21T;46;1;0.82;5.84;C26;21;96;252
21T;47;5;2.45;5.54;C26;21;96;252
21T;48;4;2.71;4.77;C26;21;96;252
21T;49;0;0;4.92;C26;21;96;252
21T;50;0;0;4.61;C26;21;96;252
21T;51;0;0;4.92;C26;21;96;252
21T;52;0;0;5.69;C26;21;96;252
21T;53;0;0;4.61;C26;21;96;252
21T;54;4;2.54;4.15;C26;21;96;252
21T;55;5;2.69;5.38;C26;21;96;252
21T;56;0;0;4.46;C26;21;96;252
21T;57;0;0;4.15;C26;21;96;252
21T;58;4;2.67;4.61;C26;21;96;252
21T;59;0;0;4.46;C26;21;96;252
21T;60;4;2.51;4.61;C26;21;96;252
21T;61;0;0;4.61;C26;21;96;252
21T;62;5;2.88;5.23;C26;21;96;252
21T;63;0;0;5.54;C26;21;96;252
21T;64;0;0;5.38;C26;21;96;252
21T;65;4;3.39;4.92;C26;21;96;252
21T;66;3;1.02;5.38;C26;21;96;252
21T;67;3;1.17;5.38;C26;21;96;252
21T;68;0;0;4.31;C26;21;96;252
21T;69;0;0;4.77;C26;21;96;252
21T;70;0;0;4;C26;21;96;252
21T;71;0;0;5.38;C26;21;96;252
21T;72;4;3.09;5.84;C26;21;96;252
21T;73;0;0;5.38;C26;21;96;252
21T;74;0;0;4.31;C26;21;96;252
21T;75;0;0;5.38;C26;21;96;252
21T;76;3;0.88;4.77;C26;21;96;252
21T;77;0;0;4.61;C26;21;96;252
21T;78;5;2.65;4.15;C26;21;96;252
21T;79;4;2.6;4.77;C26;21;96;252
21T;80;0;0;5.38;C26;21;96;252
21T;81;5;2.14;4.61;C26;21;96;252
21T;82;0;0;4.77;C26;21;96;252
21T;83;4;3.15;4.92;C26;21;96;252
21T;84;0;0;5.07;C26;21;96;252
21T;85;4;3.14;4.92;C26;21;96;252
21T;86;4;2.57;5.23;C26;21;96;252
21T;87;0;0;4.61;C26;21;96;252
21T;88;0;0;4.92;C26;21;96;252
21T;89;0;0;4.61;C26;21;96;252
21T;90;4;2.3;4.92;C26;21;96;252
21T;91;5;3.11;4.61;C26;21;96;252
21T;92;0;0;4.61;C26;21;96;252
22T;1;0;0;5.38;C26;22;83;126
22T;2;0;0;5.23;C26;22;83;126
22T;3;0;0;5.38;C26;22;83;126
22T;4;0;0;6.61;C26;22;83;126
22T;5;1;0.38;4.92;C26;22;83;126
22T;6;0;0;4.31;C26;22;83;126
22T;7;0;0;5.84;C26;22;83;126
22T;8;0;0;4.31;C26;22;83;126
22T;9;0;0;5.84;C26;22;83;126
22T;10;0;0;4.92;C26;22;83;126
22T;11;0;0;4.77;C26;22;83;126
22T;12;3;1.06;5.07;C26;22;83;126
22T;13;0;0;6;C26;22;83;126
22T;14;0;0;4.77;C26;22;83;126
22T;15;0;0;5.54;C26;22;83;126
22T;16;5;2.85;4.92;C26;22;83;126
22T;17;0;0;5.07;C26;22;83;126
22T;18;5;2.88;4.46;C26;22;83;126
22T;19;4;2.67;4.61;C26;22;83;126
22T;20;0;0;4.15;C26;22;83;126
22T;21;5;2.81;5.07;C26;22;83;126
22T;22;5;1.5;3.54;C26;22;83;126
22T;23;0;0;5.38;C26;22;83;126
22T;24;0;0;6.15;C26;22;83;126
22T;25;0;0;5.38;C26;22;83;126
22T;26;5;2.38;4.46;C26;22;83;126
22T;27;0;0;4.92;C26;22;83;126
22T;28;1;0.5;5.23;C26;22;83;126
22T;29;0;0;5.54;C26;22;83;126
22T;30;1;0.7;5.38;C26;22;83;126
22T;31;4;2.91;3.23;C26;22;83;126
22T;32;0;0;3.54;C26;22;83;126
22T;33;0;0;4.61;C26;22;83;126
22T;34;5;2.96;4.61;C26;22;83;126
22T;35;0;0;5.38;C26;22;83;126
22T;36;0;0;5.38;C26;22;83;126
22T;37;5;1.32;3.84;C26;22;83;126
22T;38;0;0;6;C26;22;83;126
22T;39;0;0;5.69;C26;22;83;126
22T;40;0;0;5.23;C26;22;83;126
22T;41;0;0;4.77;C26;22;83;126
22T;42;4;2.64;4.77;C26;22;83;126
22T;43;0;0;5.84;C26;22;83;126
22T;44;0;0;5.38;C26;22;83;126
22T;45;5;2.98;5.07;C26;22;83;126
22T;46;0;0;5.69;C26;22;83;126
22T;47;5;2.66;4.77;C26;22;83;126
22T;48;0;0;4.92;C26;22;83;126
22T;49;0;0;4.46;C26;22;83;126
22T;50;0;0;5.07;C26;22;83;126
22T;51;5;1.8;4;C26;22;83;126
22T;52;0;0;5.38;C26;22;83;126
22T;53;0;0;5.23;C26;22;83;126
22T;54;5;2.6;5.54;C26;22;83;126
22T;55;4;3.15;5.23;C26;22;83;126
22T;56;5;2.04;5.38;C26;22;83;126
22T;57;0;0;5.54;C26;22;83;126
22T;58;0;0;5.07;C26;22;83;126
22T;59;3;2.38;5.54;C26;22;83;126
22T;60;0;0;4.61;C26;22;83;126
22T;61;4;2.35;4.77;C26;22;83;126
22T;62;4;2.69;5.07;C26;22;83;126
22T;63;0;0;5.54;C26;22;83;126
22T;64;0;0;5.23;C26;22;83;126
22T;65;0;0;3.84;C26;22;83;126
22T;66;0;0;5.38;C26;22;83;126
22T;67;0;0;5.38;C26;22;83;126
22T;68;0;0;5.23;C26;22;83;126
22T;69;0;0;5.38;C26;22;83;126
22T;70;5;2.19;4.46;C26;22;83;126
22T;71;0;0;5.38;C26;22;83;126
22T;72;0;0;5.38;C26;22;83;126
22T;73;0;0;4.92;C26;22;83;126
22T;74;2;0.36;3.23;C26;22;83;126
22T;75;0;0;4.92;C26;22;83;126
22T;76;0;0;5.38;C26;22;83;126
22T;77;0;0;6;C26;22;83;126
22T;78;0;0;5.54;C26;22;83;126
22T;79;0;0;5.54;C26;22;83;126
23T;1;3;3.13;4.15;C26;19;70;126
23T;2;0;0;4.31;C26;19;70;126
23T;3;0;0;5.54;C26;19;70;126
23T;4;0;0;6;C26;19;70;126
23T;5;2;0.34;4.92;C26;19;70;126
23T;6;0;0;4.92;C26;19;70;126
23T;7;0;0;5.54;C26;19;70;126
23T;8;5;1.29;4.61;C26;19;70;126
23T;9;0;0;5.54;C26;19;70;126
23T;10;0;0;5.38;C26;19;70;126
23T;11;0;0;5.69;C26;19;70;126
23T;12;2;0.41;5.38;C26;19;70;126
23T;13;0;0;4.92;C26;19;70;126
23T;14;4;3.04;5.38;C26;19;70;126
23T;15;5;1.3;4.46;C26;19;70;126
23T;16;3;2.43;4.77;C26;19;70;126
23T;17;0;0;5.54;C26;19;70;126
23T;18;0;0;4.15;C26;19;70;126
23T;19;0;0;6.15;C26;19;70;126
23T;20;5;2.19;5.38;C26;19;70;126
23T;21;0;0;4.92;C26;19;70;126
23T;22;3;2.59;4.92;C26;19;70;126
23T;23;0;0;4.92;C26;19;70;126
23T;24;5;2.66;4.46;C26;19;70;126
23T;25;0;0;5.65;C26;19;70;126
23T;26;0;0;5.27;C26;19;70;126
23T;27;3;1.11;4.31;C26;19;70;126
23T;28;0;0;5.38;C26;19;70;126
23T;29;0;0;5.38;C26;19;70;126
23T;30;0;0;5.54;C26;19;70;126
23T;31;0;0;4;C26;19;70;126
23T;32;0;0;5.07;C26;19;70;126
23T;33;0;0;7.38;C26;19;70;126
23T;34;4;2.89;5.54;C26;19;70;126
23T;35;0;0;6.15;C26;19;70;126
23T;36;0;0;4.61;C26;19;70;126
23T;37;3;0.9;4.15;C26;19;70;126
23T;38;4;2.77;5.38;C26;19;70;126
23T;39;0;0;4.15;C26;19;70;126
23T;40;0;0;4.92;C26;19;70;126
23T;41;0;0;5.07;C26;19;70;126
23T;42;4;3.21;4.92;C26;19;70;126
23T;43;0;0;5.54;C26;19;70;126
23T;44;5;1.33;4.15;C26;19;70;126
23T;45;0;0;3.84;C26;19;70;126
23T;46;0;0;5.38;C26;19;70;126
23T;47;3;2.34;4.46;C26;19;70;126
23T;48;0;0;5.23;C26;19;70;126
23T;49;0;0;4.77;C26;19;70;126
23T;50;5;2.73;5.54;C26;19;70;126
23T;51;3;2.87;4.46;C26;19;70;126
23T;52;0;0;3.23;C26;19;70;126
23T;53;0;0;3.69;C26;19;70;126
23T;54;0;0;5.38;C26;19;70;126
23T;55;0;0;5.84;C26;19;70;126
23T;56;0;0;5.07;C26;19;70;126
23T;57;0;0;5.07;C26;19;70;126
23T;58;0;0;4.46;C26;19;70;126
23T;59;3;1.02;4.15;C26;19;70;126
23T;60;0;0;4.61;C26;19;70;126
23T;61;0;0;5.69;C26;19;70;126
23T;62;0;0;5.23;C26;19;70;126
23T;63;3;3.03;4.61;C26;19;70;126
23T;64;0;0;4.92;C26;19;70;126
23T;65;4;2.8;4.61;C26;19;70;126
23T;66;4;3.28;4.92;C26;19;70;126
24T;1;0;0;6;C26;16;80;93
24T;2;0;0;4.15;C26;16;80;93
24T;3;0;0;5.38;C26;16;80;93
24T;4;0;0;4.92;C26;16;80;93
24T;5;5;2.45;4.77;C26;16;80;93
24T;6;4;2.81;5.23;C26;16;80;93
24T;7;5;1.64;5.38;C26;16;80;93
24T;8;0;0;5.54;C26;16;80;93
24T;9;0;0;4.92;C26;16;80;93
24T;10;0;0;5.23;C26;16;80;93
24T;11;1;0.38;5.23;C26;16;80;93
24T;12;0;0;4.77;C26;16;80;93
24T;13;0;0;5.38;C26;16;80;93
24T;14;0;0;4.92;C26;16;80;93
24T;15;5;2.68;5.38;C26;16;80;93
24T;16;5;1.27;3.84;C26;16;80;93
24T;17;0;0;4.92;C26;16;80;93
24T;18;0;0;5.38;C26;16;80;93
24T;19;4;2.77;5.69;C26;16;80;93
24T;20;0;0;5.69;C26;16;80;93
24T;21;0;0;4.77;C26;16;80;93
24T;22;0;0;5.07;C26;16;80;93
24T;23;0;0;6;C26;16;80;93
24T;24;3;2.17;4.46;C26;16;80;93
24T;25;0;0;5.38;C26;16;80;93
24T;26;0;0;4.92;C26;16;80;93
24T;27;0;0;6.15;C26;16;80;93
24T;28;0;0;4.92;C26;16;80;93
24T;29;0;0;3.84;C26;16;80;93
24T;30;0;0;5.38;C26;16;80;93
24T;31;0;0;5.54;C26;16;80;93
24T;32;0;0;4.61;C26;16;80;93
24T;33;0;0;5.38;C26;16;80;93
24T;34;0;0;4.46;C26;16;80;93
24T;35;0;0;5.23;C26;16;80;93
24T;36;0;0;4;C26;16;80;93
24T;37;0;0;5.38;C26;16;80;93
24T;38;5;1.26;4.31;C26;16;80;93
24T;39;4;2.47;4.77;C26;16;80;93
24T;40;0;0;5.38;C26;16;80;93
24T;41;0;0;4.92;C26;16;80;93
24T;42;5;1.86;4.92;C26;16;80;93
24T;43;0;0;5.07;C26;16;80;93
24T;44;0;0;5.23;C26;16;80;93
24T;45;0;0;4.92;C26;16;80;93
24T;46;4;2.7;6;C26;16;80;93
24T;47;5;2.65;5.07;C26;16;80;93
24T;48;0;0;5.38;C26;16;80;93
24T;49;0;0;5.23;C26;16;80;93
24T;50;4;2.68;4.15;C26;16;80;93
24T;51;0;0;5.69;C26;16;80;93
24T;52;0;0;5.54;C26;16;80;93
24T;53;0;0;5.54;C26;16;80;93
24T;54;4;2.64;5.54;C26;16;80;93
24T;55;0;0;5.23;C26;16;80;93
24T;56;0;0;4.77;C26;16;80;93
24T;57;5;2.79;4.92;C26;16;80;93
24T;58;0;0;5.69;C26;16;80;93
24T;59;0;0;5.54;C26;16;80;93
24T;60;0;0;4.92;C26;16;80;93
24T;61;0;0;5.84;C26;16;80;93
24T;62;0;0;5.23;C26;16;80;93
24T;63;0;0;5.54;C26;16;80;93
24T;64;0;0;5.54;C26;16;80;93
24T;65;0;0;4.46;C26;16;80;93
24T;66;0;0;4.77;C26;16;80;93
24T;67;5;2.6;5.23;C26;16;80;93
24T;68;5;3.03;4.92;C26;16;80;93
24T;69;4;2.75;4.15;C26;16;80;93
24T;70;0;0;4.77;C26;16;80;93
24T;71;0;0;4;C26;16;80;93
24T;72;0;0;5.23;C26;16;80;93
24T;73;0;0;5.38;C26;16;80;93
24T;74;0;0;4;C26;16;80;93
24T;75;5;2.94;5.38;C26;16;80;93
24T;76;0;0;5.54;C26;16;80;93
5C;1;4;2.67;4.77;Control;19;97;84
5C;2;5;2.8;5.54;Control;19;97;84
5C;3;2;0.42;4.61;Control;19;97;84
5C;4;0;0;4.92;Control;19;97;84
5C;5;0;0;4.77;Control;19;97;84
5C;6;5;2.96;5.38;Control;19;97;84
5C;7;2;0.59;5.07;Control;19;97;84
5C;8;0;0;3.54;Control;19;97;84
5C;9;5;2.8;4.61;Control;19;97;84
5C;10;0;0;5.07;Control;19;97;84
5C;11;3;2.07;4.46;Control;19;97;84
5C;12;3;1.14;5.23;Control;19;97;84
5C;13;0;0;5.69;Control;19;97;84
5C;14;0;0;3.69;Control;19;97;84
5C;15;3;1.1;4.77;Control;19;97;84
5C;16;4;3.12;5.69;Control;19;97;84
5C;17;0;0;3.38;Control;19;97;84
5C;18;0;0;3.23;Control;19;97;84
5C;19;3;1.17;5.07;Control;19;97;84
5C;20;0;0;3.08;Control;19;97;84
5C;21;1;0.49;6.15;Control;19;97;84
5C;22;0;0;5.23;Control;19;97;84
5C;23;0;0;6.15;Control;19;97;84
5C;24;5;2.91;5.23;Control;19;97;84
5C;25;1;0.41;5.23;Control;19;97;84
5C;26;5;3.03;4.61;Control;19;97;84
5C;27;4;2.52;4.77;Control;19;97;84
5C;28;0;0;5.23;Control;19;97;84
5C;29;0;0;3.69;Control;19;97;84
5C;30;0;0;4.92;Control;19;97;84
5C;31;0;0;6.15;Control;19;97;84
5C;32;5;2.78;5.07;Control;19;97;84
5C;33;3;1.52;4;Control;19;97;84
5C;34;5;2.84;4.77;Control;19;97;84
5C;35;0;0;4.61;Control;19;97;84
5C;36;0;0;5.07;Control;19;97;84
5C;37;0;0;5.23;Control;19;97;84
5C;38;0;0;5.38;Control;19;97;84
5C;39;1;0.35;4.77;Control;19;97;84
5C;40;0;0;4.46;Control;19;97;84
5C;41;0;0;4.77;Control;19;97;84
5C;42;0;0;4.31;Control;19;97;84
5C;43;0;0;5.38;Control;19;97;84
5C;44;0;0;5.38;Control;19;97;84
5C;45;0;0;4.77;Control;19;97;84
5C;46;4;2.72;4.46;Control;19;97;84
5C;47;0;0;5.69;Control;19;97;84
5C;48;0;0;5.84;Control;19;97;84
5C;49;1;0.7;5.38;Control;19;97;84
5C;50;1;0.4;5.69;Control;19;97;84
5C;51;0;0;3.38;Control;19;97;84
5C;52;5;3.22;4.15;Control;19;97;84
5C;53;3;0.83;5.38;Control;19;97;84
5C;54;0;0;2.92;Control;19;97;84
5C;55;0;0;5.07;Control;19;97;84
5C;56;0;0;4.15;Control;19;97;84
5C;57;0;0;4.15;Control;19;97;84
5C;58;0;0;6.15;Control;19;97;84
5C;59;0;0;5.38;Control;19;97;84
5C;60;0;0;5.07;Control;19;97;84
5C;61;0;0;5.84;Control;19;97;84
5C;62;0;0;3.54;Control;19;97;84
5C;63;0;0;4.61;Control;19;97;84
5C;64;0;0;4.92;Control;19;97;84
5C;65;0;0;3.84;Control;19;97;84
5C;66;5;3.01;4.61;Control;19;97;84
5C;67;4;2.7;4.15;Control;19;97;84
5C;68;0;0;3.69;Control;19;97;84
5C;69;0;0;5.38;Control;19;97;84
5C;70;0;0;5.23;Control;19;97;84
5C;71;0;0;5.23;Control;19;97;84
5C;72;2;0.38;5.07;Control;19;97;84
5C;73;0;0;5.54;Control;19;97;84
5C;74;0;0;5.38;Control;19;97;84
5C;75;0;0;3.84;Control;19;97;84
5C;76;2;0.48;5.07;Control;19;97;84
5C;77;2;0.37;5.07;Control;19;97;84
5C;78;5;3.13;5.38;Control;19;97;84
6C;1;5;2.64;5.07;Control;19;80;154
6C;2;5;2.16;5.38;Control;19;80;154
6C;3;0;0;4.31;Control;19;80;154
6C;4;0;0;4.92;Control;19;80;154
6C;5;3;1.2;4.92;Control;19;80;154
6C;6;3;0.94;4.77;Control;19;80;154
6C;7;0;0;5.54;Control;19;80;154
6C;8;5;2.83;4.77;Control;19;80;154
6C;9;0;0;5.38;Control;19;80;154
6C;10;0;0;4.77;Control;19;80;154
6C;11;0;0;5.23;Control;19;80;154
6C;12;0;0;4.77;Control;19;80;154
6C;13;2;0.49;5.23;Control;19;80;154
6C;14;4;2.86;5.38;Control;19;80;154
6C;15;2;0.51;5.38;Control;19;80;154
6C;16;0;0;4.46;Control;19;80;154
6C;17;0;0;5.38;Control;19;80;154
6C;18;5;1.56;3.84;Control;19;80;154
6C;19;4;2.8;6;Control;19;80;154
6C;20;4;2.95;5.84;Control;19;80;154
6C;21;4;2.15;5.38;Control;19;80;154
6C;22;0;0;4.61;Control;19;80;154
6C;23;2;0.67;4.77;Control;19;80;154
6C;24;5;1.81;5.38;Control;19;80;154
6C;25;0;0;4.92;Control;19;80;154
6C;26;0;0;4.92;Control;19;80;154
6C;27;0;0;5.69;Control;19;80;154
6C;28;0;0;4.46;Control;19;80;154
6C;29;3;0.98;5.38;Control;19;80;154
6C;30;2;0.68;4.92;Control;19;80;154
6C;31;3;2.76;4.92;Control;19;80;154
6C;32;5;2.83;4.77;Control;19;80;154
6C;33;3;2.72;5.07;Control;19;80;154
6C;34;5;2.38;4.92;Control;19;80;154
6C;35;0;0;4.61;Control;19;80;154
6C;36;0;0;5.38;Control;19;80;154
6C;37;0;0;5.69;Control;19;80;154
6C;38;0;0;4.77;Control;19;80;154
6C;39;5;2.6;4.92;Control;19;80;154
6C;40;0;0;4.61;Control;19;80;154
6C;41;0;0;5.38;Control;19;80;154
6C;42;2;0.47;5.84;Control;19;80;154
6C;43;0;0;4.77;Control;19;80;154
6C;44;0;0;5.38;Control;19;80;154
6C;45;5;1.99;4.46;Control;19;80;154
6C;46;0;0;4.77;Control;19;80;154
6C;47;4;2.68;5.69;Control;19;80;154
6C;48;0;0;4.61;Control;19;80;154
6C;49;4;2.72;5.38;Control;19;80;154
6C;50;0;0;5.38;Control;19;80;154
6C;51;0;0;4.77;Control;19;80;154
6C;52;0;0;4.61;Control;19;80;154
6C;53;3;2.57;5.54;Control;19;80;154
6C;54;0;0;5.84;Control;19;80;154
6C;55;0;0;5.23;Control;19;80;154
6C;56;0;0;5.54;Control;19;80;154
6C;57;3;2.33;5.38;Control;19;80;154
6C;58;4;2.96;5.69;Control;19;80;154
6C;59;0;0;4.61;Control;19;80;154
6C;60;5;2.74;4.77;Control;19;80;154
6C;61;0;0;5.23;Control;19;80;154
6C;62;0;0;5.54;Control;19;80;154
6C;63;5;2.32;5.38;Control;19;80;154
6C;64;0;0;4.92;Control;19;80;154
6C;65;3;3.1;5.07;Control;19;80;154
6C;66;0;0;5.23;Control;19;80;154
6C;67;2;0.4;5.23;Control;19;80;154
6C;68;0;0;5.07;Control;19;80;154
6C;69;0;0;4.15;Control;19;80;154
6C;70;0;0;3.69;Control;19;80;154
6C;71;0;0;4.61;Control;19;80;154
6C;72;0;0;3.84;Control;19;80;154
6C;73;0;0;4.46;Control;19;80;154
6C;74;5;2.78;5.38;Control;19;80;154
6C;75;0;0;5.23;Control;19;80;154
6C;76;0;0;6.15;Control;19;80;154
7C;1;4;2.86;5.23;Control;18;69;57
7C;2;0;0;6;Control;18;69;57
7C;3;4;3.05;4.61;Control;18;69;57
7C;4;1;0.34;5.69;Control;18;69;57
7C;5;3;1.89;5.84;Control;18;69;57
7C;6;0;0;4.46;Control;18;69;57
7C;7;0;0;5.84;Control;18;69;57
7C;8;0;0;5.38;Control;18;69;57
7C;9;0;0;4.31;Control;18;69;57
7C;10;4;2.52;4.92;Control;18;69;57
7C;11;0;0;4.31;Control;18;69;57
7C;12;2;0.43;4.77;Control;18;69;57
7C;13;0;0;6.15;Control;18;69;57
7C;14;0;0;4.92;Control;18;69;57
7C;15;0;0;4.46;Control;18;69;57
7C;16;0;0;6;Control;18;69;57
7C;17;4;2.53;6.15;Control;18;69;57
7C;18;0;0;5.54;Control;18;69;57
7C;19;5;2.63;4.46;Control;18;69;57
7C;20;0;0;4;Control;18;69;57
7C;21;0;0;6;Control;18;69;57
7C;22;0;0;5.23;Control;18;69;57
7C;23;4;2.81;5.38;Control;18;69;57
7C;24;0;0;3.69;Control;18;69;57
7C;25;0;0;4.46;Control;18;69;57
7C;26;0;0;5.23;Control;18;69;57
7C;27;4;3.13;5.54;Control;18;69;57
7C;28;3;1.11;6;Control;18;69;57
7C;29;4;3.18;5.84;Control;18;69;57
7C;30;4;2.54;4.92;Control;18;69;57
7C;31;0;0;2.92;Control;18;69;57
7C;32;4;2.61;4.31;Control;18;69;57
7C;33;0;0;6;Control;18;69;57
7C;34;0;0;5.23;Control;18;69;57
7C;35;0;0;4.92;Control;18;69;57
7C;36;0;0;5.07;Control;18;69;57
7C;37;0;0;5.23;Control;18;69;57
7C;38;0;0;4.15;Control;18;69;57
7C;39;0;0;6;Control;18;69;57
7C;40;0;0;5.23;Control;18;69;57
7C;41;0;0;6;Control;18;69;57
7C;42;0;0;5.54;Control;18;69;57
7C;43;0;0;4.46;Control;18;69;57
7C;44;0;0;6.46;Control;18;69;57
7C;45;4;2.41;4.61;Control;18;69;57
7C;46;3;1.38;3.84;Control;18;69;57
7C;47;3;1.18;4.92;Control;18;69;57
7C;48;0;0;6;Control;18;69;57
7C;49;0;0;5.84;Control;18;69;57
7C;50;0;0;5.54;Control;18;69;57
7C;51;0;0;5.69;Control;18;69;57
7C;52;0;0;3.54;Control;18;69;57
7C;53;0;0;5.38;Control;18;69;57
7C;54;2;0.4;3.38;Control;18;69;57
7C;55;1;0.41;5.54;Control;18;69;57
7C;56;5;2.58;4;Control;18;69;57
7C;57;5;3.06;4.92;Control;18;69;57
7C;58;0;0;2.98;Control;18;69;57
7C;59;4;2.65;5.23;Control;18;69;57
7C;60;0;0;3.84;Control;18;69;57
7C;61;0;0;4.15;Control;18;69;57
7C;62;0;0;5.38;Control;18;69;57
7C;63;0;0;5.84;Control;18;69;57
7C;64;5;1.91;5.69;Control;18;69;57
7C;65;2;0.5;6.15;Control;18;69;57
8C;1;5;3.19;5.38;Control;14;69;176
8C;2;0;0;5.38;Control;14;69;176
8C;3;0;0;5.54;Control;14;69;176
8C;4;2;0.71;5.23;Control;14;69;176
8C;5;0;0;5.38;Control;14;69;176
8C;6;5;2.9;4.77;Control;14;69;176
8C;7;0;0;6.15;Control;14;69;176
8C;8;0;0;5.54;Control;14;69;176
8C;9;1;0.38;5.69;Control;14;69;176
8C;10;4;2.92;5.23;Control;14;69;176
8C;11;0;0;5.84;Control;14;69;176
8C;12;5;2.92;5.69;Control;14;69;176
8C;13;0;0;5.69;Control;14;69;176
8C;14;4;2.97;5.38;Control;14;69;176
8C;15;0;0;5.38;Control;14;69;176
8C;16;1;0.28;6.15;Control;14;69;176
8C;17;0;0;6;Control;14;69;176
8C;18;4;3.03;5.23;Control;14;69;176
8C;19;0;0;5.69;Control;14;69;176
8C;20;0;0;5.38;Control;14;69;176
8C;21;0;0;4.61;Control;14;69;176
8C;22;0;0;5.38;Control;14;69;176
8C;23;1;0.3;5.07;Control;14;69;176
8C;24;2;0.43;5.84;Control;14;69;176
8C;25;0;0;5.07;Control;14;69;176
8C;26;0;0;6.15;Control;14;69;176
8C;27;3;2.2;5.38;Control;14;69;176
8C;1;1;0.26;5.38;Control;14;69;176
8C;2;2;0.55;5.54;Control;14;69;176
8C;3;5;3.05;5.38;Control;14;69;176
8C;4;0;0;5.54;Control;14;69;176
8C;5;5;3.04;4.46;Control;14;69;176
8C;6;0;0;5.38;Control;14;69;176
8C;7;0;0;5.69;Control;14;69;176
8C;8;5;2.8;3.84;Control;14;69;176
8C;9;0;0;6.3;Control;14;69;176
8C;10;0;0;5.69;Control;14;69;176
8C;11;0;0;5.54;Control;14;69;176
8C;12;0;0;6.15;Control;14;69;176
8C;13;1;0.27;4.92;Control;14;69;176
8C;14;4;2.92;4.61;Control;14;69;176
8C;15;0;0;4.31;Control;14;69;176
8C;16;0;0;5.23;Control;14;69;176
8C;17;1;0.43;5.38;Control;14;69;176
8C;18;0;0;4.77;Control;14;69;176
8C;19;0;0;5.69;Control;14;69;176
8C;20;0;0;5.23;Control;14;69;176
8C;21;0;0;5.38;Control;14;69;176
8C;22;0;0;5.54;Control;14;69;176
8C;23;0;0;5.23;Control;14;69;176
8C;24;0;0;5.23;Control;14;69;176
8C;25;5;2.91;5.23;Control;14;69;176
8C;26;5;3.08;5.38;Control;14;69;176
8C;27;0;0;5.38;Control;14;69;176
8C;28;0;0;5.69;Control;14;69;176
8C;29;5;3.37;4.77;Control;14;69;176
8C;30;5;3.22;4.46;Control;14;69;176
8C;31;0;0;4.61;Control;14;69;176
8C;32;0;0;5.38;Control;14;69;176
8C;33;0;0;3.84;Control;14;69;176
8C;34;0;0;3.69;Control;14;69;176
8C;35;2;0.43;4.77;Control;14;69;176
8C;36;0;0;5.54;Control;14;69;176
8C;37;0;0;5.38;Control;14;69;176
8C;38;5;2.36;5.23;Control;14;69;176
9T;1;0;0;5.38;C20;18;57;111
9T;2;0;0;4.15;C20;18;57;111
9T;3;0;0;4.61;C20;18;57;111
9T;4;3;1.69;5.54;C20;18;57;111
9T;5;0;0;4.92;C20;18;57;111
9T;6;0;0;5.23;C20;18;57;111
9T;7;5;2.6;4.61;C20;18;57;111
9T;8;0;0;5.54;C20;18;57;111
9T;9;0;0;5.69;C20;18;57;111
9T;10;5;2.62;5.38;C20;18;57;111
9T;11;0;0;5.69;C20;18;57;111
9T;12;4;2.44;4.77;C20;18;57;111
9T;13;0;0;4.92;C20;18;57;111
9T;14;0;0;5.23;C20;18;57;111
9T;15;0;0;4.92;C20;18;57;111
9T;16;0;0;4.61;C20;18;57;111
9T;17;0;0;4.77;C20;18;57;111
9T;18;5;2.48;5.23;C20;18;57;111
9T;19;5;2.34;5.38;C20;18;57;111
9T;20;1;0.48;5.69;C20;18;57;111
9T;21;0;0;5.38;C20;18;57;111
9T;22;0;0;4;C20;18;57;111
9T;23;0;0;6.15;C20;18;57;111
9T;24;0;0;5.84;C20;18;57;111
9T;25;0;0;5.69;C20;18;57;111
9T;26;0;0;4.61;C20;18;57;111
9T;27;0;0;5.69;C20;18;57;111
9T;28;5;2.7;4.31;C20;18;57;111
9T;29;5;2.68;4.61;C20;18;57;111
9T;30;0;0;6.15;C20;18;57;111
9T;31;5;2.58;4.46;C20;18;57;111
9T;32;5;2;4.61;C20;18;57;111
9T;33;4;2.49;4.92;C20;18;57;111
9T;34;0;0;6.3;C20;18;57;111
9T;35;0;0;5.84;C20;18;57;111
9T;36;5;2.33;5.38;C20;18;57;111
9T;37;0;0;4.92;C20;18;57;111
9T;38;0;0;5.54;C20;18;57;111
9T;39;0;0;5.69;C20;18;57;111
9T;40;0;0;5.38;C20;18;57;111
9T;41;0;0;5.54;C20;18;57;111
9T;42;0;0;5.38;C20;18;57;111
9T;43;0;0;5.54;C20;18;57;111
9T;44;0;0;4.92;C20;18;57;111
9T;45;0;0;5.84;C20;18;57;111
9T;46;5;2.98;5.23;C20;18;57;111
9T;47;5;2.84;4.61;C20;18;57;111
9T;48;0;0;6.15;C20;18;57;111
9T;49;0;0;5.23;C20;18;57;111
9T;50;4;3;5.23;C20;18;57;111
9T;51;0;0;5.23;C20;18;57;111
9T;52;0;0;4.92;C20;18;57;111
9T;53;0;0;3.08;C20;18;57;111
